ID,reg1,reg2,reg3,reg4,home,chld,hinc,genf,wrat,avhv,incm,inca,plow,npro,tgif,lgif,rgif,tdon,tlag,agif,DONR,DAMT
275,0,0,1,0,1,0,4,1,8,206,38,41,17,49,83,35,37,17,7,19.4,1,17.008197308829324
276,0,0,0,1,1,3,2,1,9,102,23,29,22,55,82,12,4,16,4,7.8,0,0.0
277,1,0,0,0,1,3,6,0,9,171,40,50,5,49,77,48,28,15,12,15.94,0,0.0
279,0,0,0,0,1,3,1,1,8,146,26,31,17,51,89,42,23,20,12,10.56,0,0.0
284,0,0,0,0,1,0,3,1,3,132,43,55,20,13,44,44,25,21,3,19.84,1,15.935426019233033
288,0,0,0,0,0,1,1,0,6,143,32,32,25,79,112,14,12,17,9,12.82,0,0.0
290,0,0,1,0,1,1,4,1,8,163,28,64,18,31,53,28,12,14,8,9.48,0,0.0
300,0,1,0,0,1,2,6,1,9,209,38,77,1,78,119,25,32,17,11,16.9,1,15.01692628532516
302,1,0,0,0,1,3,1,1,8,117,23,41,33,11,37,6,6,16,3,3.72,0,0.0
310,0,0,0,0,1,3,3,0,9,216,38,45,10,47,58,43,27,34,7,10.96,0,0.0
312,0,0,0,0,1,3,6,1,3,107,12,33,49,54,68,17,10,14,3,8.53,0,0.0
313,0,0,1,0,1,2,4,0,9,175,31,46,13,50,62,27,27,22,7,14.49,0,0.0
328,0,1,0,0,0,3,3,1,8,170,24,50,10,64,108,8,8,21,21,5.39,0,0.0
329,1,0,0,0,1,2,4,1,8,109,25,42,30,35,55,10,11,20,4,12.17,0,0.0
331,0,0,1,0,1,3,4,1,9,139,26,49,8,50,84,26,35,23,4,18.78,0,0.0
335,0,1,0,0,1,2,7,1,8,221,101,101,1,23,52,36,18,18,6,18.51,0,0.0
338,0,0,1,0,1,1,2,1,9,239,73,93,0,19,56,40,42,15,5,21.07,0,0.0
344,0,0,0,1,1,2,4,1,8,182,34,42,5,30,45,15,14,20,4,9.25,0,0.0
347,0,0,0,0,1,0,7,0,7,116,25,48,33,89,283,58,53,19,16,22.84,1,17.209920229583155
350,1,0,0,0,1,2,5,1,8,222,45,68,0,93,120,10,8,30,9,3.71,0,0.0
353,1,0,0,0,1,2,4,0,7,250,83,86,0,100,147,27,16,19,14,20.41,0,0.0
359,0,0,0,0,1,3,5,1,9,197,42,48,11,31,56,47,35,23,6,14.9,0,0.0
361,0,0,1,0,0,1,4,0,9,271,52,69,4,66,233,233,50,19,9,22.14,0,0.0
362,0,0,0,1,1,3,3,1,9,199,53,56,5,113,216,9,6,23,5,10.72,0,0.0
366,1,0,0,0,1,1,3,0,2,509,182,192,0,44,72,42,27,18,17,27.85,0,0.0
367,0,0,1,0,1,0,2,1,8,139,21,30,38,75,198,35,25,21,7,12.36,1,16.750196183342247
371,1,0,0,0,1,2,4,1,9,113,17,39,45,29,62,26,12,18,9,18.12,0,0.0
372,1,0,0,0,1,2,5,1,8,135,29,30,22,109,466,5,4,16,5,5.88,0,0.0
377,0,0,0,1,1,0,6,0,8,143,60,60,13,49,86,77,29,19,6,30.09,1,17.720238095238088
378,1,0,0,0,1,4,5,0,8,211,47,65,8,98,75,20,20,17,5,14.22,0,0.0
382,0,0,1,0,1,2,2,1,4,151,45,45,20,61,97,13,9,20,3,9.61,0,0.0
383,0,0,0,0,1,0,1,1,8,280,54,58,18,97,109,14,28,22,8,7.77,1,14.636381125483897
384,0,0,0,1,1,0,6,1,5,152,23,44,35,82,112,8,8,21,3,7.47,1,15.594613875512755
387,1,0,0,0,1,2,5,1,3,175,38,59,8,21,51,23,23,24,5,13.3,0,0.0
388,0,1,0,0,0,0,5,1,5,124,39,42,8,51,90,23,15,13,12,17.67,1,15.491243367665417
391,0,0,1,0,0,2,4,0,7,160,40,72,16,103,282,14,13,13,6,9.83,0,0.0
392,0,1,0,0,0,2,2,0,8,85,25,27,36,46,115,56,24,21,26,24.97,0,0.0
394,0,0,1,0,1,2,4,1,8,153,35,52,30,28,40,29,21,24,12,18.87,0,0.0
401,1,0,0,0,0,3,3,1,2,262,31,54,8,11,48,32,33,25,6,25.55,0,0.0
403,0,1,0,0,1,2,7,0,0,71,14,23,28,56,121,17,9,14,5,14.2,0,0.0
408,1,0,0,0,1,0,5,1,8,206,49,62,5,43,67,6,6,32,4,4.24,1,13.173406362811594
411,0,0,0,0,0,2,6,0,3,162,27,69,21,13,47,32,25,18,8,16.93,0,0.0
418,0,0,0,0,1,3,3,0,7,113,28,31,10,51,66,14,7,18,7,9.52,0,0.0
420,0,1,0,0,0,3,1,1,9,339,82,92,1,92,173,25,8,12,7,9.47,0,0.0
424,1,0,0,0,1,0,2,1,3,135,27,41,27,56,89,15,11,13,26,8.74,0,0.0
425,0,0,0,0,1,2,6,1,9,228,48,62,2,27,45,8,6,21,10,7.39,0,0.0
428,0,1,0,0,1,2,2,1,8,159,29,53,30,44,87,8,6,20,3,4.98,0,0.0
434,0,0,0,1,1,4,4,0,8,158,40,50,12,13,39,5,3,34,3,3.57,0,0.0
445,0,0,1,0,1,4,6,1,8,143,34,34,25,21,49,10,8,14,7,8.43,0,0.0
451,1,0,0,0,1,2,1,1,5,302,101,103,0,26,60,20,12,6,4,11.56,0,0.0
456,0,1,0,0,0,0,5,0,2,103,34,34,17,66,89,6,8,16,6,5.46,0,0.0
462,1,0,0,0,0,0,3,1,8,172,29,45,18,58,79,47,47,21,10,29.68,0,0.0
466,0,0,0,0,1,3,4,1,2,168,23,54,21,140,223,23,19,16,10,15.21,0,0.0
467,0,0,0,0,1,0,3,0,9,85,6,21,62,39,81,13,7,14,2,5.97,1,13.631276524106463
471,0,0,0,1,1,0,4,0,9,190,50,71,10,56,78,13,12,18,3,9.0,1,15.633360085607272
473,0,0,0,0,1,2,7,0,9,112,35,35,39,18,55,10,8,10,11,5.31,0,0.0
482,1,0,0,0,1,3,3,1,2,92,22,37,31,78,131,9,5,15,7,6.33,0,0.0
483,0,1,0,0,1,3,4,0,4,197,40,56,19,42,57,7,5,18,13,7.16,0,0.0
488,0,0,0,0,1,2,7,0,9,245,72,72,3,109,267,47,49,16,8,19.08,0,0.0
490,1,0,0,0,1,1,3,0,2,379,74,74,2,98,298,27,15,18,8,9.83,0,0.0
499,1,0,0,0,1,1,4,0,9,207,61,69,7,105,349,10,11,15,6,7.15,1,13.935207857208228
500,1,0,0,0,1,2,1,1,5,133,27,60,17,36,58,22,12,24,5,13.07,0,0.0
501,0,1,0,0,1,4,4,0,6,200,32,48,12,30,47,26,17,18,3,11.83,0,0.0
508,1,0,0,0,1,2,3,1,8,122,31,32,27,55,86,12,12,13,6,8.79,0,0.0
510,0,0,0,1,1,2,4,1,2,166,39,66,6,38,73,23,39,8,2,15.28,0,0.0
516,0,0,0,0,1,1,4,1,5,206,60,63,7,79,91,16,15,18,7,11.09,0,0.0
517,0,0,0,0,0,2,6,0,7,241,49,59,1,54,88,17,15,21,10,10.52,0,0.0
518,1,0,0,0,1,3,5,0,8,146,35,47,10,74,80,13,10,18,4,8.8,0,0.0
521,0,0,0,0,1,5,4,1,2,234,50,80,0,72,107,5,4,22,6,3.2,0,0.0
522,0,0,0,0,1,0,4,1,3,94,20,20,41,136,338,16,13,16,9,9.63,1,14.85369674185464
524,0,0,1,0,1,4,4,0,3,152,24,49,35,56,143,28,21,20,7,15.58,0,0.0
534,0,0,0,1,1,1,6,1,6,69,16,18,43,77,175,10,5,7,7,10.11,0,0.0
536,0,0,0,1,1,2,4,1,8,248,67,67,2,49,54,29,35,16,10,18.05,0,0.0
538,0,0,0,0,1,2,2,1,8,211,79,79,2,31,59,8,7,20,11,5.83,0,0.0
542,0,0,0,0,1,3,3,1,4,231,60,88,0,34,51,16,10,24,7,8.98,0,0.0
545,0,0,0,1,1,1,4,1,9,228,66,104,0,37,61,19,13,33,3,11.58,0,0.0
546,0,0,1,0,1,1,4,1,6,182,61,61,8,45,71,11,7,19,4,7.04,1,14.694134381697339
554,0,0,1,0,1,3,7,1,6,160,17,50,29,104,235,5,6,21,9,3.66,0,0.0
555,1,0,0,0,1,5,4,1,0,255,63,63,7,114,242,30,18,21,8,16.07,0,0.0
558,0,0,0,1,1,2,1,0,8,235,39,62,6,51,106,39,19,22,12,17.86,0,0.0
559,1,0,0,0,0,2,2,1,4,148,42,46,24,24,51,20,22,12,21,16.01,0,0.0
561,0,1,0,0,0,2,5,1,8,118,25,36,15,54,85,85,11,20,6,14.23,0,0.0
563,1,0,0,0,0,2,6,0,1,129,33,42,8,44,88,41,33,23,3,16.5,0,0.0
566,0,0,0,1,1,2,4,1,9,202,86,86,3,37,67,8,7,23,6,6.87,1,14.495326864147092
571,0,0,0,1,0,2,2,1,4,199,42,80,3,37,62,20,12,27,12,9.37,0,0.0
578,1,0,0,0,1,3,4,1,8,131,23,40,38,48,97,14,25,14,3,9.34,0,0.0
582,0,1,0,0,0,5,4,1,9,72,13,24,42,74,106,5,7,23,6,5.03,0,0.0
589,0,1,0,0,1,0,4,1,8,152,17,40,27,20,47,29,28,12,9,18.24,1,15.59171490701708
594,0,0,0,1,0,0,2,1,0,187,33,58,24,15,38,5,7,14,6,6.27,0,0.0
596,0,0,0,1,1,0,5,0,8,170,53,53,9,56,80,15,18,15,9,8.79,1,16.28020088525706
597,0,0,0,1,1,5,2,1,8,151,28,44,21,134,411,81,20,19,9,18.81,0,0.0
601,0,0,0,0,1,0,4,1,9,123,20,42,17,98,159,10,10,15,5,6.65,1,13.390725815636648
603,0,0,0,0,1,2,1,1,3,119,25,42,15,93,117,15,23,19,7,13.63,0,0.0
605,0,0,1,0,1,3,7,1,8,149,39,40,14,20,54,9,8,14,7,8.16,0,0.0
620,0,0,1,0,0,3,7,1,5,256,43,81,4,41,71,14,6,17,5,6.88,0,0.0
622,0,1,0,0,1,3,5,1,0,286,64,93,1,12,34,13,8,39,7,10.74,0,0.0
623,1,0,0,0,1,1,2,1,8,223,27,89,5,89,163,9,6,12,2,9.59,0,0.0
625,0,0,0,1,0,3,5,1,9,292,40,58,5,94,146,22,28,17,7,13.13,0,0.0
626,0,0,0,1,1,4,4,1,8,64,11,20,72,48,63,13,8,24,5,8.25,0,0.0
630,0,1,0,0,1,0,4,0,8,311,112,112,0,19,44,11,8,17,5,5.72,1,13.805047262350637
632,0,1,0,0,1,0,5,1,2,172,28,58,25,91,107,11,5,25,17,10.66,1,13.894256773189356
638,0,1,0,0,1,1,4,0,8,149,15,35,59,76,88,9,10,10,8,9.35,1,13.841197254899551
639,1,0,0,0,1,2,6,1,4,151,49,49,8,56,73,9,4,22,2,6.16,0,0.0
640,1,0,0,0,1,1,2,0,7,236,39,68,5,44,72,18,22,21,15,13.4,0,0.0
650,0,0,0,1,1,2,4,0,8,126,25,33,27,76,124,28,29,16,8,12.25,0,0.0
671,0,0,1,0,1,3,4,1,3,202,38,46,5,105,132,32,12,8,12,13.58,0,0.0
674,0,0,0,0,1,1,6,0,9,142,27,37,21,14,52,5,4,12,4,4.17,0,0.0
682,0,0,0,0,1,0,2,0,7,135,27,34,21,139,462,14,11,20,6,5.71,1,13.867145178233294
683,0,0,0,0,1,3,4,1,9,163,26,46,16,96,126,39,24,16,10,14.87,0,0.0
690,0,0,0,0,1,0,5,0,8,163,40,41,16,26,67,10,6,11,3,11.95,1,14.054967130248029
693,0,0,0,0,1,2,6,1,9,201,41,56,13,14,41,22,15,19,7,10.95,0,0.0
694,0,1,0,0,1,4,4,1,9,179,49,49,9,93,115,4,4,22,7,4.11,1,11.155624665596571
704,1,0,0,0,1,2,6,1,8,185,26,65,15,23,63,19,17,24,5,11.46,0,0.0
706,0,0,1,0,1,2,1,0,3,343,80,90,0,17,54,5,4,19,6,5.33,0,0.0
707,1,0,0,0,1,0,1,1,5,469,113,122,0,51,91,6,9,12,11,4.27,1,12.998406729491364
708,0,0,0,1,0,4,4,1,8,159,63,63,6,11,29,8,4,12,4,4.7,0,0.0
718,0,0,0,0,1,2,4,1,2,213,51,65,2,74,110,11,4,25,6,8.46,0,0.0
723,0,0,1,0,1,2,3,1,8,129,25,40,32,82,101,31,17,21,9,12.79,0,0.0
728,0,0,0,1,1,3,7,0,8,129,29,42,9,35,67,43,39,15,28,16.5,0,0.0
732,1,0,0,0,1,1,4,0,5,120,23,32,15,16,45,9,5,24,8,5.13,0,0.0
734,0,1,0,0,1,2,4,1,9,143,20,41,25,67,133,15,17,24,3,8.5,1,14.05307929207614
738,0,0,0,0,1,2,5,1,9,92,36,38,14,45,68,23,13,12,4,15.22,0,0.0
739,1,0,0,0,1,2,3,1,4,276,50,72,2,54,76,60,62,16,7,44.49,0,0.0
747,0,0,1,0,1,2,4,1,9,310,98,98,1,103,227,18,23,29,7,10.96,0,0.0
748,0,1,0,0,1,0,4,0,9,147,22,36,14,72,61,18,11,40,5,10.93,1,14.521026264816289
750,0,0,1,0,1,3,6,1,9,167,45,54,9,62,61,5,3,16,5,7.52,0,0.0
755,0,0,1,0,1,4,2,1,3,130,14,43,25,33,62,24,16,16,4,13.15,0,0.0
757,0,0,0,0,1,2,2,1,3,236,51,54,8,71,97,21,22,21,24,16.12,0,0.0
769,0,0,1,0,1,5,4,1,0,89,17,28,34,57,132,9,9,16,7,12.72,0,0.0
773,0,0,0,1,0,4,4,1,9,208,51,61,1,52,154,147,67,24,7,23.97,0,0.0
775,0,1,0,0,0,3,3,0,9,172,29,56,21,34,104,104,62,17,4,30.05,0,0.0
776,0,1,0,0,1,2,5,1,1,182,54,54,8,128,317,8,7,23,3,7.07,0,0.0
780,0,1,0,0,0,2,4,0,4,108,28,29,25,49,86,47,38,20,5,16.75,0,0.0
790,0,1,0,0,1,0,2,0,9,84,23,26,29,62,116,50,27,23,6,15.28,1,15.843500441347906
791,0,0,0,0,1,2,4,0,1,192,42,52,13,15,29,10,5,23,6,4.93,0,0.0
793,0,1,0,0,0,1,1,1,8,210,55,55,5,19,44,25,21,23,4,10.86,0,0.0
794,1,0,0,0,1,1,4,1,7,102,17,21,47,74,97,26,22,24,6,10.87,0,0.0
805,1,0,0,0,1,2,3,1,5,189,58,78,4,66,117,5,6,23,7,4.29,0,0.0
806,0,0,1,0,1,0,3,0,6,270,63,90,0,30,55,4,3,15,7,2.73,1,12.532718031032642
811,0,0,0,0,1,1,6,1,9,249,42,67,4,69,86,14,12,23,5,9.95,0,0.0
814,0,0,0,0,1,2,3,1,9,244,35,63,6,102,180,26,14,26,14,10.14,0,0.0
817,0,0,0,0,1,2,4,1,0,129,16,36,32,76,139,15,19,20,8,6.03,0,0.0
818,0,0,0,1,0,3,1,0,8,509,95,157,0,56,82,52,19,14,5,25.24,0,0.0
830,1,0,0,0,0,3,6,1,3,254,49,65,1,85,100,10,9,20,3,5.5,0,0.0
831,0,0,0,1,0,3,4,0,6,295,42,70,3,81,142,28,21,12,3,10.91,0,0.0
838,0,0,1,0,1,0,2,0,9,153,28,43,14,99,299,39,38,19,4,11.48,1,16.958895131086138
839,0,0,0,0,1,4,6,0,9,253,44,52,4,13,41,25,24,10,16,15.16,0,0.0
842,0,0,1,0,0,3,4,1,8,106,44,44,13,49,100,13,11,16,8,8.56,0,0.0
846,0,0,0,0,1,2,7,1,9,154,42,46,12,27,45,6,3,12,3,4.57,0,0.0
849,0,0,1,0,1,0,3,1,0,198,45,53,5,42,61,5,7,19,16,3.78,0,0.0
851,0,0,1,0,1,1,4,1,9,247,43,60,14,38,78,19,20,16,13,15.13,0,0.0
855,0,1,0,0,1,2,2,1,8,221,34,55,14,51,67,26,15,28,8,12.29,0,0.0
856,0,0,0,1,1,4,4,1,9,134,43,43,13,65,99,16,17,23,6,5.71,0,0.0
860,0,0,0,0,1,2,2,0,9,168,23,39,10,64,120,52,16,13,6,14.92,0,0.0
864,0,0,1,0,0,4,4,1,0,180,37,51,22,19,52,15,15,15,3,14.56,0,0.0
867,0,0,0,0,1,0,2,1,5,167,31,55,18,94,121,50,23,21,11,26.75,1,16.531318147207635
873,0,0,0,1,1,2,5,0,8,158,22,48,20,41,104,104,24,14,11,18.63,0,0.0
877,0,1,0,0,1,3,4,0,4,199,37,49,20,38,55,8,11,17,5,6.82,0,0.0
882,0,0,1,0,1,4,4,1,8,160,55,55,6,23,61,26,25,12,6,15.48,0,0.0
895,0,0,0,1,1,2,4,1,9,94,17,29,35,34,61,15,12,18,4,15.21,0,0.0
897,0,0,0,1,1,2,4,1,6,138,14,40,34,45,76,76,35,13,4,22.36,0,0.0
898,0,0,1,0,1,3,1,1,8,139,26,38,14,93,238,21,18,24,13,13.46,0,0.0
901,1,0,0,0,1,2,4,1,8,257,79,86,0,65,72,7,9,22,11,7.64,0,0.0
905,0,0,0,0,1,2,5,0,9,166,25,39,26,27,58,5,6,19,4,6.77,0,0.0
907,1,0,0,0,1,2,5,1,8,146,49,57,15,82,157,16,12,17,10,7.09,0,0.0
908,0,0,0,0,1,0,4,1,8,157,38,38,18,93,190,29,14,16,5,11.69,1,14.805351258694937
912,1,0,0,0,0,1,4,0,8,145,48,62,1,25,55,7,9,20,6,6.65,0,0.0
914,1,0,0,0,0,4,3,0,5,129,35,49,19,57,95,14,15,38,6,14.39,0,0.0
920,0,1,0,0,1,3,5,1,9,158,39,92,13,46,63,14,19,13,3,14.43,1,14.10767790262172
921,1,0,0,0,1,2,2,0,4,108,44,44,14,77,126,20,18,14,6,9.23,0,0.0
924,0,0,0,1,0,3,6,0,3,117,28,38,10,59,87,12,10,15,6,6.02,0,0.0
927,0,0,1,0,0,1,4,1,1,202,65,65,7,13,51,14,13,21,4,14.07,0,0.0
930,0,0,1,0,1,3,4,1,7,185,37,44,11,87,107,20,11,15,4,15.09,0,0.0
931,1,0,0,0,0,4,2,0,9,138,15,38,46,70,133,10,9,12,6,5.13,0,0.0
932,1,0,0,0,1,2,2,1,7,161,26,56,17,10,33,14,11,16,3,9.77,0,0.0
937,1,0,0,0,1,1,1,1,8,119,25,39,19,120,220,11,14,24,3,9.57,0,0.0
945,0,0,0,0,1,3,5,1,8,169,28,71,11,14,40,16,25,31,4,14.56,0,0.0
952,0,0,0,1,0,1,4,0,8,177,26,42,17,88,160,36,14,20,12,11.02,0,0.0
953,0,0,1,0,1,3,2,1,6,189,42,51,11,43,50,9,8,17,9,8.21,0,0.0
954,0,0,1,0,1,2,2,0,9,353,68,107,1,47,68,13,11,24,10,7.59,0,0.0
955,0,0,0,0,0,2,2,1,0,109,23,23,27,110,195,11,7,23,8,10.7,0,0.0
956,1,0,0,0,1,2,4,0,9,152,53,53,7,71,101,18,36,10,11,11.26,0,0.0
958,1,0,0,0,1,3,7,0,8,127,21,30,25,21,45,14,7,14,7,11.24,0,0.0
971,0,1,0,0,1,0,5,1,8,159,45,45,8,119,338,46,26,22,4,18.53,1,16.273621948005697
972,0,1,0,0,1,4,4,1,8,154,14,41,23,15,44,13,12,14,4,11.64,0,0.0
977,0,0,0,1,1,1,2,1,8,148,43,52,8,26,133,133,48,15,14,28.01,0,0.0
985,1,0,0,0,1,3,3,0,8,211,69,69,0,107,207,8,5,21,11,5.86,0,0.0
986,1,0,0,0,1,0,4,0,9,237,73,74,0,117,157,22,18,19,8,11.17,1,15.51504657209953
1001,0,0,0,0,1,4,2,1,8,154,64,64,0,86,218,12,16,10,5,10.13,0,0.0
1002,0,1,0,0,0,2,2,0,7,148,43,48,14,62,102,12,13,19,11,9.3,0,0.0
1007,0,0,0,0,1,2,4,0,9,123,40,40,9,27,60,16,10,21,8,10.22,0,0.0
1009,0,1,0,0,0,0,4,1,8,206,43,70,1,5,32,11,13,24,5,9.68,1,13.267489291634385
1010,0,0,1,0,1,0,2,0,9,218,54,64,9,55,86,6,5,17,11,4.82,1,13.158334549345788
1012,0,0,0,0,1,2,7,0,6,243,63,63,6,89,151,15,16,18,5,9.01,0,0.0
1015,0,0,0,1,0,0,5,0,8,199,39,67,4,77,115,13,7,13,11,11.39,0,0.0
1017,1,0,0,0,0,1,3,1,4,359,93,93,0,54,78,9,4,26,7,7.66,0,0.0
1027,0,1,0,0,1,2,4,1,0,135,48,48,18,10,41,21,12,16,3,16.32,0,0.0
1028,0,1,0,0,1,2,3,1,7,100,33,33,36,84,126,10,14,17,5,8.35,1,13.634339887640454
